func_name,func_text,query,response
A,call printf,Name the following assembly function:\ncall printf,Calling printf
_init
,4011b8  sub     rsp, 0x8\n4011bc  mov     rax,  [0x606fd0]\n4011c3  test    rax, rax\n4011c6  je      0x4011ca\n4011ca  add     rsp, 0x8\n4011ce  ret     \n4011c8  call    rax\n,Name the following assembly function:\n4011b8  sub     rsp, 0x8\n4011bc  mov     rax,  [0x606fd0]\n4011c3  test    rax, rax\n4011c6  je      0x4011ca\n4011ca  add     rsp, 0x8\n4011ce  ret     \n4011c8  call    rax\n,\nCall Function at 0x606fd0sub_4011d0
,4011d0  push     [0x606e70]\n4011d6  jmp      [0x606e78]\n,Name the following assembly function:\n4011d0  push     [0x606e70]\n4011d6  jmp      [0x606e78]\n,\nJump to Memory Address from Variablesub_4011dc
,4011dc  nop     dword  ptr  [rax]\n,Name the following assembly function:\n4011dc  nop     dword  ptr  [rax]\n,\nNo Operation (NOP)free
,4011e0  jmp      [0x606e80]\n,Name the following assembly function:\n4011e0  jmp      [0x606e80]\n,\nIndirect Jumpabort
,4011f0  jmp      [0x606e88]\n,Name the following assembly function:\n4011f0  jmp      [0x606e88]\n,\nIndirect Jumpstrncmp
,401210  jmp      [0x606e98]\n,Name the following assembly function:\n401210  jmp      [0x606e98]\n,\nFar Jump_exit
,401220  jmp      [0x606ea0]\n,Name the following assembly function:\n401220  jmp      [0x606ea0]\n,\nFar Jumpwrite
,401240  jmp      [0x606eb0]\n,Name the following assembly function:\n401240  jmp      [0x606eb0]\n,\nIndirect Jump.textdomain
,401250  jmp      [0x606eb8]\n,Name the following assembly function:\n401250  jmp      [0x606eb8]\n,\nFar Jumpfclose
,401260  jmp      [0x606ec0]\n,Name the following assembly function:\n401260  jmp      [0x606ec0]\n,\nIndirect Jump.bindtextdomain
,401270  jmp      [0x606ec8]\n,Name the following assembly function:\n401270  jmp      [0x606ec8]\n,\nIndirect Jumpdcgettext
,401280  jmp      [0x606ed0]\n,Name the following assembly function:\n401280  jmp      [0x606ed0]\n,\nIndirect Jumpstrlen
,4012a0  jmp      [0x606ee0]\n,Name the following assembly function:\n4012a0  jmp      [0x606ee0]\n,\nJump to Memory Address 0x606ee0getopt_long
,4012c0  jmp      [0x606ef0]\n,Name the following assembly function:\n4012c0  jmp      [0x606ef0]\n,\nIndirect Jumpmbrtowc
,4012d0  jmp      [0x606ef8]\n,Name the following assembly function:\n4012d0  jmp      [0x606ef8]\n,\nJump to Memory Location 0x606ef8strrchr
,4012e0  jmp      [0x606f00]\n,Name the following assembly function:\n4012e0  jmp      [0x606f00]\n,\nJump to Address at 0x606f00lseek
,4012f0  jmp      [0x606f08]\n,Name the following assembly function:\n4012f0  jmp      [0x606f08]\n,\nIndirect Jump Functionmemset
,401300  jmp      [0x606f10]\n,Name the following assembly function:\n401300  jmp      [0x606f10]\n,\nJump to Memory Address 0x606f10memcmp
,401310  jmp      [0x606f18]\n,Name the following assembly function:\n401310  jmp      [0x606f18]\n,\nJump to Address in Memoryfputs_unlocked
,401320  jmp      [0x606f20]\n,Name the following assembly function:\n401320  jmp      [0x606f20]\n,\nIndirect Jumpcalloc
,401330  jmp      [0x606f28]\n,Name the following assembly function:\n401330  jmp      [0x606f28]\n,\nIndirect Jumpmemcpy
,401340  jmp      [0x606f30]\n,Name the following assembly function:\n401340  jmp      [0x606f30]\n,\nIndirect JMPfileno
,401350  jmp      [0x606f38]\n,Name the following assembly function:\n401350  jmp      [0x606f38]\n,\nIndirect Jumpmalloc
,401360  jmp      [0x606f40]\n,Name the following assembly function:\n401360  jmp      [0x606f40]\n,\nIndirect Jumpfflush
,401370  jmp      [0x606f48]\n,Name the following assembly function:\n401370  jmp      [0x606f48]\n,\nIndirect Jumpnl_langinfo
,401380  jmp      [0x606f50]\n,Name the following assembly function:\n401380  jmp      [0x606f50]\n,\nIndirect Jumprealloc
,4013a0  jmp      [0x606f60]\n,Name the following assembly function:\n4013a0  jmp      [0x606f60]\n,\nJump to Address at 0x606f60setlocale
,4013b0  jmp      [0x606f68]\n,Name the following assembly function:\n4013b0  jmp      [0x606f68]\n,\nDirect jump to address in memory.error
,4013d0  jmp      [0x606f78]\n,Name the following assembly function:\n4013d0  jmp      [0x606f78]\n,\nJump to Address 0x606f78fseeko
,4013e0  jmp      [0x606f80]\n,Name the following assembly function:\n4013e0  jmp      [0x606f80]\n,\nJump to Address at 0x606f80exit
,401400  jmp      [0x606f90]\n,Name the following assembly function:\n401400  jmp      [0x606f90]\n,\nIndirect jump.fwrite
,401410  jmp      [0x606f98]\n,Name the following assembly function:\n401410  jmp      [0x606f98]\n,\nIndirect jumpmbsinit
,401430  jmp      [0x606fa8]\n,Name the following assembly function:\n401430  jmp      [0x606fa8]\n,\nFar Jumpiswprint
,401440  jmp      [0x606fb0]\n,Name the following assembly function:\n401440  jmp      [0x606fb0]\n,\nIndirect Jumpmain
